country,deaths_low,deaths_high,note
Greece,58800,65000,USHMM estimate; range shown where source gives a range
Austria,65459,65459,USHMM estimate; range shown where source gives a range
Yugoslavia,67228,67228,USHMM estimate; range shown where source gives a range
Latvia,70000,70000,USHMM estimate; range shown where source gives a range
France,72900,74000,USHMM estimate; range shown where source gives a range
Netherlands,102000,102000,USHMM estimate; range shown where source gives a range
Lithuania,130000,130000,USHMM estimate; range shown where source gives a range
Germany,165200,165200,USHMM estimate; range shown where source gives a range
Romania,211214,260000,USHMM estimate; range shown where source gives a range
Czechoslovakia,260000,260000,USHMM estimate; range shown where source gives a range
Hungary (1941 borders),564507,564507,USHMM estimate; range shown where source gives a range
Soviet Union,1340000,1340000,USHMM estimate; range shown where source gives a range
Poland,2770000,3000000,USHMM estimate; range shown where source gives a range
