camp,peak_resident_population,peak_date,state,county,post_office
Central Utah (Topaz),8130,3-17-43,Utah,Millard,Topaz
Colorado River (Poston),17814,9-2-42,Arizona,Yuma,Poston
Gila River,13348,12-30-42,Arizona,Pinal,Rivers
Granada,7318,2-1-43,Colorado,Prowers,Amache
Heart Mountain,10767,1-1-43,Wyoming,Park,Heart Mountain
Jerome,8497,2-11-43,Arkansas,Drew & Chicot,Denson
Manzanar,10046,9-22-42,California,Inyo,Manzanar
Minidoka,9397,3-1-43,Idaho,Jerome,Hunt
Rohwer,8475,3-11-43,Arkansas,Desha,Relocation
Tule Lake,18789,12-25-44,California,Modoc,Newell
CUMULATIVE WRA CUSTODY (not sum of bars),120313,program total 1942-1946,,,
