id,standard,unit,reporting_category,type,dok,level,blooms,hess_crm_cell,c3_dimension,ssp,correct_answer,irt_a,irt_b,irt_c,tennessee_specific,tcap_format,field_test_ready,topics
GC.01-Q01,GC.01,1,RC-GOV1: Foundations of Constitutional Government,multiple_choice,1,Developing,Remember,Remember × DOK 1,D2,SSP.02,B,1.02,-1.14,0.2,False,True,True,John Locke; natural rights
GC.01-Q02,GC.01,1,RC-GOV1: Foundations of Constitutional Government,multiple_choice,1,Developing,Remember,Remember × DOK 1,D2,SSP.02,C,1.14,-0.98,0.2,False,True,True,Magna Carta; limited government
GC.01-Q03,GC.01,1,RC-GOV1: Foundations of Constitutional Government,multiple_choice,2,Proficient,Understand,Understand × DOK 2,D2,SSP.02,A,1.49,0.3,0.2,False,True,True,Montesquieu; separation of powers
GC.01-Q04,GC.01,1,RC-GOV1: Foundations of Constitutional Government,multiple_choice,2,Proficient,Understand,Understand × DOK 2,D2,SSP.02,D,1.62,0.5,0.2,False,True,True,social contract; consent of the governed
GC.01-Q05,GC.01,1,RC-GOV1: Foundations of Constitutional Government,multiple_choice,2,Proficient,Understand,Understand × DOK 2,D2,SSP.02,B,1.1,-0.3,0.2,False,True,True,Thomas Hobbes; social contract
GC.01-Q06,GC.01,1,RC-GOV1: Foundations of Constitutional Government,multiple_choice,3,Advanced,Analyze,Analyze × DOK 3,D3,SSP.02,A,1.43,0.66,0.2,False,True,True,Magna Carta; due process
GC.01-Q07,GC.01,1,RC-GOV1: Foundations of Constitutional Government,multiple_choice,3,Advanced,Analyze,Analyze × DOK 3,D3,SSP.02,C,1.56,0.92,0.2,False,True,True,Roman Republic; representative government
GC.01-Q08,GC.01,1,RC-GOV1: Foundations of Constitutional Government,short_answer,2,Proficient,Understand,Understand × DOK 2,D2,SSP.02,See rubric,1.49,0.3,0.0,False,False,False,John Locke; natural rights
GC.01-Q09,GC.01,1,RC-GOV1: Foundations of Constitutional Government,constructed_response,3,Advanced,Evaluate,Evaluate × DOK 3,D4,SSP.04,See rubric,1.82,1.44,0.0,False,False,False,Enlightenment influences; argumentation
GC.01-Q10,GC.01,1,RC-GOV1: Foundations of Constitutional Government,document_based,3,Advanced,Analyze,Analyze × DOK 3,D3,SSP.02,See rubric,1.3,0.4,0.0,False,False,False,John Locke; consent of the governed
GC.01-Q11,GC.01,1,RC-GOV1: Foundations of Constitutional Government,multiple_choice,1,Developing,Remember,Remember × DOK 1,D2,SSP.02,A,1.05,-1.25,0.2,False,True,True,Greek democracy; roots of government
GC.01-Q12,GC.01,1,RC-GOV1: Foundations of Constitutional Government,multiple_choice,1,Developing,Remember,Remember × DOK 1,D2,SSP.02,B,1.2,-0.95,0.2,False,True,True,English Bill of Rights; limited government
GC.01-Q13,GC.01,1,RC-GOV1: Foundations of Constitutional Government,multiple_choice,2,Proficient,Understand,Understand × DOK 2,D2,SSP.02,C,1.3,-0.05,0.2,False,True,True,Montesquieu; separation of powers
GC.01-Q14,GC.01,1,RC-GOV1: Foundations of Constitutional Government,multiple_choice,2,Proficient,Understand,Understand × DOK 2,D2,SSP.02,D,1.55,0.4,0.2,False,True,True,Magna Carta; rule of law
GC.01-Q15,GC.01,1,RC-GOV1: Foundations of Constitutional Government,multiple_choice,2,Proficient,Understand,Understand × DOK 2,D2,SSP.02,A,1.25,0.15,0.2,False,True,True,John Locke; Thomas Hobbes; social contract
GC.01-Q16,GC.01,1,RC-GOV1: Foundations of Constitutional Government,multiple_choice,3,Advanced,Apply,Apply × DOK 3,D3,SSP.02,B,1.45,0.65,0.2,False,True,True,John Locke; social contract; consent of the governed
GC.01-Q17,GC.01,1,RC-GOV1: Foundations of Constitutional Government,multiple_choice,3,Advanced,Apply,Apply × DOK 3,D3,SSP.02,C,1.65,1.0,0.2,False,True,True,Montesquieu; separation of powers
GC.01-Q18,GC.01,1,RC-GOV1: Foundations of Constitutional Government,multiple_choice,3,Advanced,Analyze,Analyze × DOK 3,D3,SSP.04,D,1.8,1.3,0.2,False,True,True,Enlightenment influences; roots of government
GC.01-Q19,GC.01,1,RC-GOV1: Foundations of Constitutional Government,constructed_response,3,Advanced,Evaluate,Evaluate × DOK 3,D4,SSP.04,See rubric,1.85,1.45,0.0,False,False,False,John Locke; Thomas Hobbes; argumentation
GC.01-Q20,GC.01,1,RC-GOV1: Foundations of Constitutional Government,document_based,3,Advanced,Analyze,Analyze × DOK 3,D3,SSP.02,See rubric,1.4,0.6,0.0,False,False,False,Magna Carta; limited government; due process
GC.02-Q01,GC.02,1,RC-GOV1: Foundations of Constitutional Government,multiple_choice,1,Developing,Remember,Remember × DOK 1,D2,SSP.02,A,1.02,-1.14,0.2,False,True,True,Declaration of Independence; consent of the governed
GC.02-Q02,GC.02,1,RC-GOV1: Foundations of Constitutional Government,multiple_choice,1,Developing,Remember,Remember × DOK 1,D2,SSP.02,B,1.14,-0.98,0.2,False,True,True,Thomas Jefferson; Declaration of Independence
GC.02-Q03,GC.02,1,RC-GOV1: Foundations of Constitutional Government,multiple_choice,2,Proficient,Understand,Understand × DOK 2,D2,SSP.02,C,1.49,0.3,0.2,False,True,True,unalienable rights; Declaration of Independence
GC.02-Q04,GC.02,1,RC-GOV1: Foundations of Constitutional Government,multiple_choice,2,Proficient,Understand,Understand × DOK 2,D2,SSP.02,D,1.62,0.5,0.2,False,True,True,grievances; King George III
GC.02-Q05,GC.02,1,RC-GOV1: Foundations of Constitutional Government,multiple_choice,2,Proficient,Understand,Understand × DOK 2,D2,SSP.02,A,1.1,-0.3,0.2,False,True,True,grievances; justification for independence
GC.02-Q06,GC.02,1,RC-GOV1: Foundations of Constitutional Government,multiple_choice,3,Advanced,Analyze,Analyze × DOK 3,D3,SSP.02,B,1.43,0.66,0.2,False,True,True,natural rights; right of revolution
GC.02-Q07,GC.02,1,RC-GOV1: Foundations of Constitutional Government,multiple_choice,3,Advanced,Analyze,Analyze × DOK 3,D3,SSP.02,C,1.56,0.92,0.2,False,True,True,Declaration of Independence; civic argumentation
GC.02-Q08,GC.02,1,RC-GOV1: Foundations of Constitutional Government,short_answer,2,Proficient,Understand,Understand × DOK 2,D2,SSP.02,See rubric,1.49,0.3,0.0,False,False,False,unalienable rights; consent of the governed
GC.02-Q09,GC.02,1,RC-GOV1: Foundations of Constitutional Government,constructed_response,3,Advanced,Evaluate,Evaluate × DOK 3,D4,SSP.04,See rubric,1.82,1.44,0.0,False,False,False,Declaration of Independence; argumentation
GC.02-Q10,GC.02,1,RC-GOV1: Foundations of Constitutional Government,document_based,3,Advanced,Analyze,Analyze × DOK 3,D3,SSP.02,See rubric,1.3,0.4,0.0,False,False,False,Declaration of Independence; natural rights
GC.02-Q11,GC.02,1,RC-GOV1: Foundations of Constitutional Government,multiple_choice,1,Developing,Remember,Remember × DOK 1,D2,SSP.02,B,1.05,-1.25,0.2,False,True,True,Declaration of Independence; 1776
GC.02-Q12,GC.02,1,RC-GOV1: Foundations of Constitutional Government,multiple_choice,1,Developing,Remember,Remember × DOK 1,D2,SSP.02,C,1.2,-0.95,0.2,False,True,True,grievances; King George III
GC.02-Q13,GC.02,1,RC-GOV1: Foundations of Constitutional Government,multiple_choice,2,Proficient,Understand,Understand × DOK 2,D2,SSP.02,D,1.3,-0.05,0.2,False,True,True,unalienable rights; Declaration of Independence
GC.02-Q14,GC.02,1,RC-GOV1: Foundations of Constitutional Government,multiple_choice,2,Proficient,Understand,Understand × DOK 2,D2,SSP.02,A,1.55,0.4,0.2,False,True,True,right of revolution; consent of the governed
GC.02-Q15,GC.02,1,RC-GOV1: Foundations of Constitutional Government,multiple_choice,2,Proficient,Apply,Apply × DOK 2,D2,SSP.02,B,1.25,0.15,0.2,False,True,True,consent of the governed; popular sovereignty
GC.02-Q16,GC.02,1,RC-GOV1: Foundations of Constitutional Government,multiple_choice,3,Advanced,Apply,Apply × DOK 3,D3,SSP.02,C,1.45,0.65,0.2,False,True,True,right of revolution; grievances
