id,standard,unit,reporting_category,type,dok,level,blooms,hess_crm_cell,c3_dimension,ssp,correct_answer,irt_a,irt_b,irt_c,tennessee_specific,tcap_format,field_test_ready,topics
WHG-W01-001,W.01,1,,multiple_choice,1,Remember,Remember,Remember x DOK 1,D2,,C,1.1,-1.2,0.2,False,,True,absolutism
WHG-W01-002,W.01,1,,multiple_choice,1,Remember,Remember,Remember x DOK 1,D2,,A,1.2,-1.3,0.2,False,,True,divine right
WHG-W01-003,W.01,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,B,1.5,-0.2,0.2,False,,True,Versailles; Louis XIV
WHG-W01-004,W.01,1,,multiple_choice,1,Remember,Remember,Remember x DOK 1,D2,,D,1.2,-0.8,0.2,False,,True,Peter the Great; St. Petersburg
WHG-W01-005,W.01,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,A,1.4,-0.3,0.2,False,,True,Peter the Great; westernization
WHG-W01-006,W.01,1,,multiple_choice,1,Remember,Remember,Remember x DOK 1,D3,,B,1.2,-0.9,0.2,False,,True,Louis XIV; absolutism
WHG-W01-007,W.01,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,D,1.4,0.0,0.2,False,,True,Peter the Great; boyar
WHG-W01-008,W.01,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D3,,C,1.5,0.1,0.2,False,,True,absolutism; strengths
WHG-W01-009,W.01,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D3,,A,1.5,0.0,0.2,False,,True,absolutism; weaknesses
WHG-W01-010,W.01,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,D,1.5,0.2,0.2,False,,True,Louis XIV; Peter the Great; absolutism
WHG-W01-011,W.01,1,,multiple_choice,2,Analyze,Analyze,Analyze x DOK 2,D2,,B,1.6,0.4,0.2,False,,True,Louis XIV; Peter the Great; westernization
WHG-W01-012,W.01,1,,constructed_response,3,Analyze,Analyze,Analyze x DOK 3,D3,,constructed-response — see rubric/exemplar (teacher-side),1.5,0.6,0.0,False,,True,absolutism; strengths; weaknesses
WHG-W01-013,W.01,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D3,,C,1.5,0.3,0.2,False,,True,Versailles; Louis XIV; absolutism
WHG-W01-014,W.01,1,,multiple_choice,3,Evaluate,Evaluate,Evaluate x DOK 3,D2,,A,1.7,0.9,0.2,False,,True,absolutism; weaknesses
WHG-W01-015,W.01,1,,multiple_choice,3,Analyze,Analyze,Analyze x DOK 3,D3,,D,1.6,0.6,0.2,False,,True,Peter the Great; St. Petersburg; westernization
WHG-W01-016,W.01,1,,constructed_response,3,Analyze,Analyze,Analyze x DOK 3,D3,,constructed-response — see rubric/exemplar (teacher-side),1.6,0.8,0.0,False,,True,Louis XIV; Peter the Great; absolutism
WHG-W01-017,W.01,1,,multiple_choice,3,Analyze,Analyze,Analyze x DOK 3,D2,,B,1.6,0.6,0.2,False,,True,divine right; absolutism
WHG-W01-018,W.01,1,,constructed_response,3,Evaluate,Evaluate,Evaluate x DOK 3,D3,,constructed-response — see rubric/exemplar (teacher-side),1.6,0.9,0.0,False,,True,absolutism; weaknesses; divine right
WHG-W01-019,W.01,1,,multiple_choice,3,Analyze,Analyze,Analyze x DOK 3,D3,,C,1.7,0.8,0.2,False,,True,absolutism; strengths; weaknesses
WHG-W01-020,W.01,1,,constructed_response,3,Evaluate,Evaluate,Evaluate x DOK 3,D3,,constructed-response — see rubric/exemplar (teacher-side),1.6,1.0,0.0,False,,True,absolutism; Louis XIV; Peter the Great
WHG-W02-001,W.02,1,,multiple_choice,1,Remember,Remember,Remember x DOK 1,D2,,B,1.1,-1.2,0.2,False,,True,Magna Carta; rule of law
WHG-W02-002,W.02,1,,multiple_choice,1,Remember,Remember,Remember x DOK 1,D2,,A,1.2,-1.0,0.2,False,,True,constitutional monarchy; Parliament
WHG-W02-003,W.02,1,,multiple_choice,1,Remember,Remember,Remember x DOK 1,D2,,C,1.2,-0.9,0.2,False,,True,English Bill of Rights; Parliament
WHG-W02-004,W.02,1,,multiple_choice,1,Remember,Remember,Remember x DOK 1,D2,,D,1.1,-0.8,0.2,False,,True,rule of law
WHG-W02-005,W.02,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,A,1.4,-0.4,0.2,False,,True,Magna Carta; rule of law
WHG-W02-006,W.02,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,D,1.4,-0.3,0.2,False,,True,English Bill of Rights; Parliament
WHG-W02-007,W.02,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,B,1.5,-0.2,0.2,False,,True,constitutional monarchy
WHG-W02-008,W.02,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,C,1.5,0.0,0.2,False,,True,Magna Carta; English Bill of Rights
WHG-W02-009,W.02,1,,multiple_choice,2,Apply,Apply,Apply x DOK 2,D3,,C,1.5,0.1,0.2,False,,True,Magna Carta; rule of law
WHG-W02-010,W.02,1,,constructed_response,2,Understand,Understand,Understand x DOK 2,D2,,constructed-response — see rubric/exemplar (teacher-side),1.4,0.2,0.0,False,,True,constitutional monarchy; English Bill of Rights; Parliament
WHG-W02-011,W.02,1,,multiple_choice,3,Analyze,Analyze,Analyze x DOK 3,D3,,B,1.6,0.5,0.2,False,,True,constitutional monarchy; absolutism contrast
WHG-W02-012,W.02,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,A,1.5,0.3,0.2,False,,True,Magna Carta; English Bill of Rights
WHG-W02-013,W.02,1,,multiple_choice,3,Evaluate,Evaluate,Evaluate x DOK 3,D3,,D,1.6,0.8,0.2,False,,True,English Bill of Rights; Magna Carta
WHG-W02-014,W.02,1,,multiple_choice,3,Analyze,Analyze,Analyze x DOK 3,D3,,A,1.6,0.7,0.2,False,,True,Magna Carta; rule of law
WHG-W02-015,W.02,1,,constructed_response,3,Evaluate,Evaluate,Evaluate x DOK 3,D3,,constructed-response — see rubric/exemplar (teacher-side),1.6,0.9,0.0,False,,True,Magna Carta; English Bill of Rights; constitutional monarchy
WHG-W02-016,W.02,1,,multiple_choice,3,Analyze,Analyze,Analyze x DOK 3,D3,,B,1.7,0.7,0.2,False,,True,constitutional monarchy; absolutism contrast
WHG-W02-017,W.02,1,,multiple_choice,3,Analyze,Analyze,Analyze x DOK 3,D3,,C,1.6,0.8,0.2,False,,True,English Bill of Rights; Parliament; rule of law
WHG-W02-018,W.02,1,,constructed_response,3,Analyze,Analyze,Analyze x DOK 3,D3,,constructed-response — see rubric/exemplar (teacher-side),1.6,1.0,0.0,False,,True,constitutional monarchy; Magna Carta; English Bill of Rights; absolutism contrast
WHG-W02-019,W.02,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,D,1.4,0.2,0.2,False,,True,rule of law; constitutional monarchy
WHG-W02-020,W.02,1,,constructed_response,3,Analyze,Analyze,Analyze x DOK 3,D3,,constructed-response — see rubric/exemplar (teacher-side),1.7,1.1,0.0,False,,True,Magna Carta; English Bill of Rights; rule of law; Parliament
WHG-W03-001,W.03,1,,multiple_choice,1,Remember,Remember,Remember x DOK 1,D2,,A,1.1,-1.2,0.2,False,,True,Enlightenment; reason
WHG-W03-002,W.03,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,C,1.4,-0.3,0.2,False,,True,Locke; natural rights; social contract
WHG-W03-003,W.03,1,,multiple_choice,1,Remember,Remember,Remember x DOK 1,D2,,B,1.2,-0.9,0.2,False,,True,Rousseau; popular sovereignty
WHG-W03-004,W.03,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,D,1.4,-0.2,0.2,False,,True,Montesquieu; separation of powers
WHG-W03-005,W.03,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,A,1.4,0.0,0.2,False,,True,Hobbes; social contract
WHG-W03-006,W.03,1,,multiple_choice,1,Remember,Remember,Remember x DOK 1,D2,,C,1.1,-0.8,0.2,False,,True,Locke; natural rights
WHG-W03-007,W.03,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,B,1.4,-0.1,0.2,False,,True,Locke; natural rights
WHG-W03-008,W.03,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,D,1.3,0.0,0.2,False,,True,social contract; Locke; Rousseau
WHG-W03-009,W.03,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,A,1.5,0.1,0.2,False,,True,Hobbes; social contract
WHG-W03-010,W.03,1,,multiple_choice,1,Remember,Remember,Remember x DOK 1,D2,,B,1.2,-0.9,0.2,False,,True,Montesquieu; separation of powers
WHG-W03-011,W.03,1,,multiple_choice,3,Analyze,Analyze,Analyze x DOK 3,D2,,C,1.6,0.6,0.2,False,,True,Hobbes; Locke; social contract
WHG-W03-012,W.03,1,,multiple_choice,3,Evaluate,Evaluate,Evaluate x DOK 3,D2,,D,1.7,0.7,0.2,False,,True,Locke; social contract; natural rights
WHG-W03-013,W.03,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,A,1.4,-0.1,0.2,False,,True,Rousseau; popular sovereignty
WHG-W03-014,W.03,1,,multiple_choice,3,Analyze,Analyze,Analyze x DOK 3,D2,,B,1.6,0.7,0.2,False,,True,Montesquieu; Rousseau; separation of powers; popular sovereignty
WHG-W03-015,W.03,1,,multiple_choice,3,Analyze,Analyze,Analyze x DOK 3,D2,,C,1.6,0.5,0.2,False,,True,Enlightenment; reason
WHG-W03-016,W.03,1,,multiple_choice,3,Analyze,Analyze,Analyze x DOK 3,D2,,D,1.7,0.8,0.2,False,,True,Locke; Rousseau; natural rights; popular sovereignty
WHG-W03-017,W.03,1,,constructed_response,2,Understand,Understand,Understand x DOK 2,D2,,constructed-response — see rubric/exemplar (teacher-side),1.3,0.4,0.0,False,,True,Hobbes; Locke; social contract; natural rights
WHG-W03-018,W.03,1,,constructed_response,3,Analyze,Analyze,Analyze x DOK 3,D2,,constructed-response — see rubric/exemplar (teacher-side),1.5,0.7,0.0,False,,True,Montesquieu; separation of powers
WHG-W03-019,W.03,1,,constructed_response,3,Analyze,Analyze,Analyze x DOK 3,D2,,constructed-response — see rubric/exemplar (teacher-side),1.5,0.8,0.0,False,,True,Rousseau; popular sovereignty; social contract
WHG-W03-020,W.03,1,,constructed_response,3,Analyze,Analyze,Analyze x DOK 3,D2,,constructed-response — see rubric/exemplar (teacher-side),1.5,0.9,0.0,False,,True,Hobbes; Locke; Montesquieu; Rousseau
WHG-W04-001,W.04,1,,multiple_choice,1,Remember,Remember,Remember x DOK 1,D2,,A,1.1,-1.3,0.2,False,,True,English Civil War
WHG-W04-002,W.04,1,,multiple_choice,1,Remember,Remember,Remember x DOK 1,D2,,B,1.2,-1.0,0.2,False,,True,Charles I; Execution 1649
WHG-W04-003,W.04,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,C,1.4,-0.2,0.2,False,,True,Causes; Charles I
WHG-W04-004,W.04,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,D,1.3,0.0,0.2,False,,True,Divine right
WHG-W04-005,W.04,1,,multiple_choice,1,Remember,Remember,Remember x DOK 1,D2,,B,1.2,-1.1,0.2,False,,True,Cromwell; Commonwealth
WHG-W04-006,W.04,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,A,1.4,0.1,0.2,False,,True,Commonwealth
WHG-W04-007,W.04,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,D,1.3,0.2,0.2,False,,True,Restoration; Charles II
WHG-W04-008,W.04,1,,multiple_choice,1,Remember,Remember,Remember x DOK 1,D2,,C,1.2,-0.9,0.2,False,,True,Glorious Revolution; William and Mary
WHG-W04-009,W.04,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,A,1.5,0.3,0.2,False,,True,Glorious Revolution
WHG-W04-010,W.04,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,B,1.5,0.2,0.2,False,,True,English Bill of Rights; constitutional monarchy
WHG-W04-011,W.04,1,,multiple_choice,3,Analyze,Analyze,Analyze x DOK 3,D2,,D,1.7,0.9,0.2,False,,True,Execution 1649; divine right
WHG-W04-012,W.04,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,C,1.5,0.4,0.2,False,,True,Causes; Charles I
WHG-W04-013,W.04,1,,constructed_response,3,Analyze,Analyze,Analyze x DOK 3,D3,,constructed-response — see rubric/exemplar (teacher-side),1.6,0.7,0.0,False,,True,Causes; Charles I; Cromwell
WHG-W04-014,W.04,1,,multiple_choice,3,Analyze,Analyze,Analyze x DOK 3,D2,,B,1.7,1.0,0.2,False,,True,constitutional monarchy
WHG-W04-015,W.04,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,A,1.5,0.5,0.2,False,,True,chronology
WHG-W04-016,W.04,1,,multiple_choice,3,Analyze,Analyze,Analyze x DOK 3,D3,,C,1.8,1.1,0.2,False,,True,Glorious Revolution; constitutional monarchy
WHG-W04-017,W.04,1,,constructed_response,3,Evaluate,Evaluate,Evaluate x DOK 3,D3,,constructed-response — see rubric/exemplar (teacher-side),1.6,0.9,0.0,False,,True,Causes; Charles I; English Civil War
WHG-W04-018,W.04,1,,multiple_choice,3,Evaluate,Evaluate,Evaluate x DOK 3,D3,,D,1.8,1.2,0.2,False,,True,constitutional monarchy; Glorious Revolution
WHG-W04-019,W.04,1,,constructed_response,3,Analyze,Analyze,Analyze x DOK 3,D3,,constructed-response — see rubric/exemplar (teacher-side),1.7,1.0,0.0,False,,True,constitutional monarchy; Glorious Revolution; Cromwell
WHG-W04-020,W.04,1,,constructed_response,3,Evaluate,Evaluate,Evaluate x DOK 3,D3,,constructed-response — see rubric/exemplar (teacher-side),1.6,0.9,0.0,False,,True,Execution 1649; divine right
WHG-W08a-001,W.08a,1,,multiple_choice,1,Remember,Remember,Remember x DOK 1,D2,,A,1.1,-1.3,0.2,False,,True,Declaration of Independence
WHG-W08a-002,W.08a,1,,multiple_choice,1,Remember,Remember,Remember x DOK 1,D2,,B,1.0,-1.1,0.2,False,,True,Declaration of Independence
WHG-W08a-003,W.08a,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,C,1.3,0.0,0.2,False,,True,natural rights
WHG-W08a-004,W.08a,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,D,1.3,0.1,0.2,False,,True,consent of the governed
WHG-W08a-005,W.08a,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,A,1.4,0.0,0.2,False,,True,Locke and Jefferson
WHG-W08a-006,W.08a,1,,multiple_choice,1,Remember,Remember,Remember x DOK 1,D2,,B,1.2,-0.7,0.2,False,,True,self-evident
WHG-W08a-007,W.08a,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,C,1.3,0.2,0.2,False,,True,Declaration of Independence
WHG-W08a-008,W.08a,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,D,1.4,0.4,0.2,False,,True,consent of the governed
WHG-W08a-009,W.08a,1,,multiple_choice,2,Understand,Understand,Understand x DOK 2,D2,,A,1.4,0.3,0.2,False,,True,spread of ideas
